season,team,espn_pred_wins,espn_pred_losses
2025,BOS,56.0,26.0
2025,OKC,51.2,30.8
2025,NY,40.6,41.4
2025,DEN,46.3,35.7
2025,PHI,51.5,30.5
2025,DAL,50.3,31.7
2025,MIN,46.5,35.5
2025,PHX,42.7,39.3
2025,MIL,46.0,36.0
2025,CLE,47.5,34.5
2025,MEM,44.4,37.6
2025,IND,41.1,40.9
2025,ORL,38.7,43.3
2025,GS,41.8,40.2
2025,LAL,42.7,39.3
2025,NO,42.5,39.5
2025,SAC,42.5,39.5
2025,MIA,44.9,37.1
2025,HOU,42.1,39.9
2025,LAC,42.4,39.6
2025,SA,31.0,51.0
2025,ATL,36.9,45.1
2025,CHI,38.2,43.8
2025,TOR,33.9,48.1
2025,CHA,37.0,45.0
2025,UTAH,33.1,48.9
2025,DET,29.3,52.7
2025,BKN,33.5,48.5
2025,POR,33.1,48.9
2025,WSH,22.4,59.6
